DesignID,k,family,nc,rf,ra,alpha,N,D_reg,A_reg,G_reg,D_scaled,A_scaled,G_scaled,Deff_reg,Aeff_reg,Geff_reg,Deff_scaled,Aeff_scaled,Geff_scaled
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,6.7217272275516535,2.1229673813827667,0.6973786485115214,6.847940526947446,2.058265943233315,0.7030284881492569,0.1861076516844771,0.17639276066218962,0.2745451409066873,0.18631888853686837,0.17625348747680994,0.26400714292807104
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,11.148265205668098,2.345861230615657,0.7043659642346876,11.434214980667594,2.2160500924987327,0.6609143682821621,0.1787488375591098,0.14497143266119153,0.20630914588013405,0.18005978201612285,0.14687843949901655,0.23539161494934369
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,19.303820932486946,2.622036189220318,0.7009323159180576,20.05547149824047,2.332040773630536,0.61753192017865,0.16613173788573105,0.10651365920391286,0.15530982038787164,0.1692971327845961,0.11157578120231375,0.17419391492095176
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,77,34.56699843342557,2.9417481898315554,0.7774068882767408,36.69943591631033,2.325925671979294,0.5569992787131168,0.15499455186403735,0.06965404892177533,0.0943659273255341,0.1613262351045958,0.07981508088907421,0.13616304969818618
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,11.322584308742572,303.8141644033572,442.85782033968877,15.655063554241115,12.429502058158716,15.539986089089112,0.14812809311488298,0.9883856590195198,0.7801043745965857,0.12629968353115384,0.11471005461101494,0.10857576108989997
FCCD_k8_nc1_rf1_ra1,8,FCCD,1,1,1,1,49,5.782394459208387,804.3184639025618,640.5186921753809,11.08802244272593,28.007225272831676,21.71818068206687,0.15071004773931546,0.9949508764655853,0.8241741778466698,0.09804009742312415,0.08248045968873167,0.07916694403215067
FCCD_k9_nc1_rf1_ra1,9,FCCD,1,1,1,1,51,2.929904126979866,1504.7676235832025,896.9329966615385,7.80380035945431,49.6679094036191,30.784224765392622,0.15510071703006675,0.9969764244020357,0.9179358980468026,0.06978042289771431,0.052689743942117714,0.04991014794311487
FCCD_k10_nc1_rf1_ra1,10,FCCD,1,1,1,1,53,1.5260248726102859,2405.1584086899043,1185.0251172596397,5.565953221603487,77.43369707072924,40.64889887478703,0.16034275442378476,0.997923130275043,0.925676837892549,0.04533010610802546,0.03129458646089107,0.03155794292309396
RCCD_k3_nc1_rf1_ra1,3,RCCD,1,1,1,1.681792830507429,15,10.326884413080787,2.0602240320496996,0.9739461455958964,10.615966860877023,1.8411456947843605,0.8190758399331098,0.2859253495824375,0.18176473595705156,0.19658368194862283,0.28883941653397105,0.19703848080969322,0.2266023895522105
RCCD_k4_nc1_rf1_ra1,4,RCCD,1,1,1,2,25,19.205797092532244,1.880016102954351,0.9798708022960315,19.789560251103172,1.5681914710029363,0.7300636290829065,0.30794153541851754,0.18089359069439587,0.14830234774603812,0.31163520285679647,0.20755754986328176,0.21309608408871494
RCCD_k5_nc1_rf1_ra1,5,RCCD,1,1,1,2.378414230005442,43,36.73545605453172,1.5403911494123743,0.8520446104940173,37.90790001940624,1.177042429929219,0.5698228505626697,0.31615114840261854,0.18130633195697055,0.12776522584441935,0.3199974023913453,0.22106192988227463,0.18877849959571083
RCCD_k6_nc1_rf1_ra1,6,RCCD,1,1,1,2.8284271247461903,77,72.33402326202423,0.9203135608026825,0.48088370686399123,74.32009193500696,0.716320020266775,0.3105078214601148,0.32433766390254837,0.22264658596506684,0.15255397692698539,0.3267020411933222,0.25916341914032126,0.24425381657901363
RCCD_k7_nc1_rf1_ra1,7,RCCD,1,1,1,3.363585661014858,47,27.53228957432726,300.98144109268804,398.62864611906446,40.830919801198974,4.365044977138867,5.319699336719514,0.3601921118470158,0.9976879704380285,0.8666595497708202,0.329409857156427,0.3266378393227149,0.31717315399817136
RCCD_k8_nc1_rf1_ra1,8,RCCD,1,1,1,4,49,15.44161417206783,800.8166172916087,656.24346569712,37.47474245568896,6.9645536030817,6.380695032195326,0.4024641392872095,0.9993016420211246,0.80442548248200485,0.3313510069302307,0.33168655835843686,0.269463120531834
RCCD_k9_nc1_rf1_ra1,9,RCCD,1,1,1,4.756828460010884,51,8.465078450773337,1500.6726737256995,978.0912950852635,37.15717817405239,7.866031691853043,4.767077012261919,0.44811696237449394,0.9996969167109303,0.841769065848344,0.33225396438158034,0.33269500189370493,0.32230341746164115
RCCD_k10_nc1_rf1_ra1,10,RCCD,1,1,1,5.656854249492381,53,4.719574845786445,2400.4998058020183,1331.4243241323247,40.85057331403742,7.277168175192121,3.7878361813059875,0.49589600016687635,0.9998597801199424,0.8238923410709215,0.3326942841904658,0.3329943007538655,0.3386618557867144
SCCD_k3_nc1_rf1_ra1,3,SCCD,1,1,1,1.7320508075688772,15,10.691395736035144,2.039151788909531,0.984968563116889,11.001486475087336,1.811649986941024,0.8238612605622277,0.29601774756749333,0.18364306141140324,0.19438378694548192,0.29932864110392315,0.20024648981019047,0.22528616338467528
