DesignID,D_reg,A_reg,G_reg,D_scaled,A_scaled,G_scaled
FCCD_k3_nc1_rf1_ra1,6.7217272275516535,2.1229673813827667,0.6973786485115214,6.847940526947446,2.058265943233315,0.7030284881492569
FCCD_k4_nc1_rf1_ra1,11.148265205668098,2.345861230615657,0.7043659642346876,11.434214980667594,2.2160500924987327,0.6609143682821621
FCCD_k5_nc1_rf1_ra1,19.303820932486946,2.622036189220318,0.7009323159180576,20.05547149824047,2.332040773630536,0.61753192017865
FCCD_k6_nc1_rf1_ra1,34.56699843342557,2.9417481898315554,0.7774068882767408,36.69943591631033,2.325925671979294,0.5569992787131168
FCCD_k7_nc1_rf1_ra1,11.322584308742572,303.8141644033572,442.85782033968877,15.655063554241115,12.429502058158716,15.539986089089112
FCCD_k8_nc1_rf1_ra1,5.782394459208387,804.3184639025618,640.5186921753809,11.08802244272593,28.007225272831676,21.71818068206687
FCCD_k9_nc1_rf1_ra1,2.929904126979866,1504.7676235832025,896.9329966615385,7.80380035945431,49.6679094036191,30.784224765392622
FCCD_k10_nc1_rf1_ra1,1.5260248726102859,2405.1584086899043,1185.0251172596397,5.565953221603487,77.43369707072924,40.64889887478703
RCCD_k3_nc1_rf1_ra1,10.326884413080787,2.0602240320496996,0.9739461455958964,10.615966860877023,1.8411456947843605,0.8190758399331098
RCCD_k4_nc1_rf1_ra1,19.205797092532244,1.880016102954351,0.9798708022960315,19.789560251103172,1.5681914710029363,0.7300636290829065
RCCD_k5_nc1_rf1_ra1,36.73545605453172,1.5403911494123743,0.8520446104940173,37.90790001940624,1.177042429929219,0.5698228505626697
RCCD_k6_nc1_rf1_ra1,72.33402326202423,0.9203135608026825,0.48088370686399123,74.32009193500696,0.716320020266775,0.3105078214601148
RCCD_k7_nc1_rf1_ra1,27.53228957432726,300.98144109268804,398.62864611906446,40.830919801198974,4.365044977138867,5.319699336719514
RCCD_k8_nc1_rf1_ra1,15.44161417206783,800.8166172916087,656.24346569712,37.47474245568896,6.9645536030817,6.380695032195326
RCCD_k9_nc1_rf1_ra1,8.465078450773337,1500.6726737256995,978.0912950852635,37.15717817405239,7.866031691853043,4.767077012261919
RCCD_k10_nc1_rf1_ra1,4.719574845786445,2400.4998058020183,1331.4243241323247,40.85057331403742,7.277168175192121,3.7878361813059875
SCCD_k3_nc1_rf1_ra1,10.691395736035144,2.039151788909531,0.984968563116889,11.001486475087336,1.811649986941024,0.8238612605622277
SCCD_k4_nc1_rf1_ra1,19.205797092532244,1.880016102954351,0.9822659883877689,19.789560251103172,1.5681914710029363,0.7346773373989564
SCCD_k5_nc1_rf1_ra1,34.496470876607574,1.701919378755162,0.9547407339327733,35.612609027617054,1.2776591694503767,0.6216298603953455
SCCD_k6_nc1_rf1_ra1,62.733144760277106,1.5381084385417758,0.9446433345312408,64.95370052430167,0.9747153598422139,0.4910789517880392
SCCD_k7_nc1_rf1_ra1,21.680398138343374,301.86187059390744,462.99120561222526,30.967413197969343,6.962942285267422,8.670931013753462
SCCD_k8_nc1_rf1_ra1,11.17954122651402,801.8466714475303,585.3819539876422,23.47682329962429,15.203098684552744,12.40985684757021
SCCD_k9_nc1_rf1_ra1,5.670783935320075,1501.7756665869126,1037.4433995939469,17.756709516757933,25.5984240592871,14.121624505841101
SCCD_k10_nc1_rf1_ra1,2.9409516552415385,2401.6459201648613,1198.2829849459627,13.651176038315068,37.74750765108329,20.598658581723836
FCCD_k3_nc3_rf1_ra1,7.034275400483078,1.971299907359681,0.7251686414755213,7.159724873843854,1.9144425921885548,0.7028026194882232
FCCD_k4_nc3_rf1_ra1,11.385807645050177,2.280435498369898,0.6944702669280035,11.671888805592191,2.1540821155759766,0.6880245511025588
