DesignID,lambda,lambda_eff,Dcrit,Acrit,Gcrit
FCCD_k3_nc1_rf1_ra1,1e-10,9.9e-10,6.707446946839218,2.1305555548009947,3.3622972408638865
FCCD_k4_nc1_rf1_ra1,1e-10,1.7666666666666668e-9,11.130812775431098,2.3542843676199,5.78921699430159
FCCD_k5_nc1_rf1_ra1,1e-10,3.3476190476190476e-9,19.279685911947514,2.6324087357232218,9.122988548840349
FCCD_k6_nc1_rf1_ra1,1e-10,3.332142857142857e-9,20.158940358018963,3.2784424345617444,12.736119042566289
FCCD_k7_nc1_rf1_ra1,1e-10,3.3194444444444445e-9,3.2626711010205502,903765740.2907676,3990756853.008414
FCCD_k8_nc1_rf1_ra1,1e-10,3.308888888888889e-9,0.407036833292874,2417726146.825086,5799354372.353755
FCCD_k9_nc1_rf1_ra1,1e-10,3.3e-9,0.04998022521322041,4545451727.168025,7534553542.244115
FCCD_k10_nc1_rf1_ra1,1e-10,3.292424242424242e-9,0.006698146089129992,7289454003.669188,9565812295.415668
RCCD_k3_nc1_rf1_ra1,1e-10,1.5197056274847715e-9,10.305535991953501,2.0786678456654046,0.9752176573274364
RCCD_k4_nc1_rf1_ra1,1e-10,2.7266666666666668e-9,19.181639983173095,1.895833328967596,0.958949712822767
RCCD_k5_nc1_rf1_ra1,1e-10,5.045564488071066e-9,36.708422239095974,1.551589144604091,0.8526142938370824
RCCD_k6_nc1_rf1_ra1,1e-10,6.332142857142859e-9,43.79961942509533,1.2664930529236822,0.6062087256747609
RCCD_k7_nc1_rf1_ra1,1e-10,8.659421997182739e-9,8.600319660326228,346443533.26387876,1578642419.7595346
RCCD_k8_nc1_rf1_ra1,1e-10,1.290888888888889e-8,1.3856730815069898,619727950.5824063,1491083564.328766
RCCD_k9_nc1_rf1_ra1,1e-10,2.0731442738115364e-8,0.23854358124655234,723538635.1336036,1186471990.394418
RCCD_k10_nc1_rf1_ra1,1e-10,3.523181818181819e-8,0.04908370066496238,681202340.0861866,948800912.2027241
SCCD_k3_nc1_rf1_ra1,1e-10,1.59e-9,10.66951889851483,2.057539679578197,0.9877026200017819
SCCD_k4_nc1_rf1_ra1,1e-10,2.7266666666666668e-9,19.181639983173095,1.895833328967596,0.9726221032925895
SCCD_k5_nc1_rf1_ra1,1e-10,4.680952380952382e-9,34.46840734022521,1.7163095169934592,0.9220713084054865
SCCD_k6_nc1_rf1_ra1,1e-10,5.0464285714285715e-9,37.72690236171762,1.845012619293008,0.885307458961269
SCCD_k7_nc1_rf1_ra1,1e-10,5.4194444444444455e-9,6.51135548824942,553562458.5868889,2446946774.4548182
SCCD_k8_nc1_rf1_ra1,1e-10,5.797777777777779e-9,0.8699448097241059,1379838096.0622456,3467140012.156027
SCCD_k9_nc1_rf1_ra1,1e-10,6.18e-9,0.11485122627912071,2427184197.004312,4039156470.4855556
