DesignID,Dcritical,Acritical,Gcritical
FCCD_k3_nc1_rf1_ra1,6.707446945424451,2.1305555555555555,0.7359724335835292
FCCD_k4_nc1_rf1_ra1,11.130812772344722,2.3542843691148776,0.6879017399667312
FCCD_k5_nc1_rf1_ra1,19.27968590385714,2.63240873921238,0.6824694959953325
FCCD_k6_nc1_rf1_ra1,34.53062270516323,2.954397308979364,0.7310424577190553
RCCD_k3_nc1_rf1_ra1,10.305535988698018,2.078667848504563,0.9848845168314772
RCCD_k4_nc1_rf1_ra1,19.181639976562717,1.8958333333333321,0.9943970949293275
RCCD_k5_nc1_rf1_ra1,36.70842222541133,1.5515891503131602,0.8698517795065137
RCCD_k6_nc1_rf1_ra1,72.31020939561091,0.9236328124999973,0.4807991884525151
SCCD_k3_nc1_rf1_ra1,10.669518895024307,2.0575396825396823,0.9980392749054307
SCCD_k4_nc1_rf1_ra1,19.181639976562717,1.8958333333333321,0.9875849284417911
SCCD_k5_nc1_rf1_ra1,34.468407327038655,1.7163095238095105,0.987099828347963
SCCD_k6_nc1_rf1_ra1,62.69854260653663,1.5516264619883176,0.9328759130592333
FCCD_k3_nc3_rf1_ra1,7.020399549310565,1.9778169014084508,0.7115965847811502
FCCD_k4_nc3_rf1_ra1,11.368480246515393,2.2885802469135803,0.7147344755205225
FCCD_k5_nc3_rf1_ra1,19.502703747433596,2.5966449162446437,0.732567092728282
FCCD_k6_nc3_rf1_ra1,34.77191318782025,2.93198441215737,0.7380206844204631
RCCD_k3_nc3_rf1_ra1,11.493292118967629,1.1928128437864698,0.6009307969184131
RCCD_k4_nc3_rf1_ra1,20.639245599998407,1.0624999999999998,0.4722654300774929
RCCD_k5_nc3_rf1_ra1,38.540247861623904,0.8749350273840889,0.3405402937866999
RCCD_k6_nc3_rf1_ra1,74.12260781119927,0.6370117187499993,0.24016072902308847
SCCD_k3_nc3_rf1_ra1,11.90849729452925,1.1686507936507935,0.6118059241087587
SCCD_k4_nc3_rf1_ra1,20.639245599998407,1.0624999999999998,0.494771500389386
SCCD_k5_nc3_rf1_ra1,36.3196183516481,0.9163095238095234,0.3562930686433628
SCCD_k6_nc3_rf1_ra1,65.20749110756455,0.7738486842105271,0.3165050629847571
FCCD_k3_nc5_rf1_ra1,7.242911325995266,1.9069587628865978,0.7560494837741931
FCCD_k4_nc5_rf1_ra1,11.552054396111595,2.2509439050701188,0.675087755179953
FCCD_k5_nc5_rf1_ra1,19.68407165275482,2.573517384052858,0.7036326609598896
FCCD_k6_nc5_rf1_ra1,34.975041180682055,2.91631722931065,0.772551256832408
RCCD_k3_nc5_rf1_ra1,12.093760111016271,1.0139768271800926,0.6546850448417852
RCCD_k4_nc5_rf1_ra1,21.354221130057486,0.8958333333333334,0.47222846903635163
RCCD_k5_nc5_rf1_ra1,39.459322416207314,0.7265791600945982,0.3438516398999495
RCCD_k6_nc5_rf1_ra1,75.20377890982823,0.5414713541666663,0.21726605418572717
SCCD_k3_nc5_rf1_ra1,12.532619007731105,0.9908730158730159,0.5866246968722262
SCCD_k4_nc5_rf1_ra1,21.354221130057486,0.8958333333333334,0.4608116632418995
SCCD_k5_nc5_rf1_ra1,37.21392709324472,0.7563095238095235,0.34042520156312306
SCCD_k6_nc5_rf1_ra1,66.40803969507417,0.6182931286549702,0.22038061521161378
FCCD_k3_nc7_rf1_ra1,7.416969719068783,1.8660569105691058,0.7302440777747194
FCCD_k4_nc7_rf1_ra1,11.70210734897886,2.2265555555555556,0.7099618469006882
FCCD_k5_nc7_rf1_ra1,19.837152106420557,2.5573345417870574,0.714312286687496
FCCD_k6_nc7_rf1_ra1,35.150587323330946,2.904748679184252,0.701870665035377
RCCD_k3_nc7_rf1_ra1,12.506765030375941,0.9371612086277609,0.64975018686246655
