lambda,meanG,meanD,meanA
0.01,0.3535644026579064,0.45809751329416615,0.39832348887370833
1e-5,0.34612953522518647,0.45537142765918465,0.39056294764062477
1e-4,0.34396417096681897,0.45540401118896806,0.3906100502144062
1e-7,0.3426700684217443,0.4553678297211046,0.3905578451260141
1e-6,0.3426343902874914,0.4553681569192792,0.39055830833493027
1e-10,0.3414926446945408,0.4553677884537024,0.390557767467112
0.001,0.34135163730281365,0.45571819088164733,0.39114126231395346
1e-9,0.34015886403395373,0.4553677936012773,0.3905577930027336
1e-8,0.33987654129260086,0.4553677970624809,0.39055779912561256
