DesignID,k,family,nc,rf,ra,alpha,N
FCCD_k10_nc7_rf1_ra1,10,FCCD,7,1,1,1,59
RCCD_k3_nc7_rf1_ra1,3,RCCD,7,1,1,1.681792830507429,21
RCCD_k4_nc7_rf1_ra1,4,RCCD,7,1,1,2,31
RCCD_k5_nc7_rf1_ra1,5,RCCD,7,1,1,2.378414230005442,49
RCCD_k6_nc7_rf1_ra1,6,RCCD,7,1,1,2.8284271247461903,83
RCCD_k7_nc7_rf1_ra1,7,RCCD,7,1,1,3.363585661014858,53
RCCD_k8_nc7_rf1_ra1,8,RCCD,7,1,1,4,55
RCCD_k9_nc7_rf1_ra1,9,RCCD,7,1,1,4.756828460010884,57
RCCD_k10_nc7_rf1_ra1,10,RCCD,7,1,1,5.656854249492381,59
SCCD_k3_nc7_rf1_ra1,3,SCCD,7,1,1,1.7320508075688772,21
SCCD_k4_nc7_rf1_ra1,4,SCCD,7,1,1,2,31
SCCD_k5_nc7_rf1_ra1,5,SCCD,7,1,1,2.23606797749979,49
SCCD_k6_nc7_rf1_ra1,6,SCCD,7,1,1,2.449489742783178,83
SCCD_k7_nc7_rf1_ra1,7,SCCD,7,1,1,2.6457513110645907,53
SCCD_k8_nc7_rf1_ra1,8,SCCD,7,1,1,2.8284271247461903,55
SCCD_k9_nc7_rf1_ra1,9,SCCD,7,1,1,3,57
SCCD_k10_nc7_rf1_ra1,10,SCCD,7,1,1,3.1622776601683795,59
FCCD_k3_nc10_rf1_ra1,3,FCCD,10,1,1,1,24
FCCD_k4_nc10_rf1_ra1,4,FCCD,10,1,1,1,34
FCCD_k5_nc10_rf1_ra1,5,FCCD,10,1,1,1,52
FCCD_k6_nc10_rf1_ra1,6,FCCD,10,1,1,1,86
FCCD_k7_nc10_rf1_ra1,7,FCCD,10,1,1,1,56
FCCD_k8_nc10_rf1_ra1,8,FCCD,10,1,1,1,58
FCCD_k9_nc10_rf1_ra1,9,FCCD,10,1,1,1,60
FCCD_k10_nc10_rf1_ra1,10,FCCD,10,1,1,1,62
RCCD_k3_nc10_rf1_ra1,3,RCCD,10,1,1,1.681792830507429,24
RCCD_k4_nc10_rf1_ra1,4,RCCD,10,1,1,2,34
RCCD_k5_nc10_rf1_ra1,5,RCCD,10,1,1,2.378414230005442,52
RCCD_k6_nc10_rf1_ra1,6,RCCD,10,1,1,2.8284271247461903,86
RCCD_k7_nc10_rf1_ra1,7,RCCD,10,1,1,3.363585661014858,56
RCCD_k8_nc10_rf1_ra1,8,RCCD,10,1,1,4,58
RCCD_k9_nc10_rf1_ra1,9,RCCD,10,1,1,4.756828460010884,60
RCCD_k10_nc10_rf1_ra1,10,RCCD,10,1,1,5.656854249492381,62
SCCD_k3_nc10_rf1_ra1,3,SCCD,10,1,1,1.7320508075688772,24
SCCD_k4_nc10_rf1_ra1,4,SCCD,10,1,1,2,34
SCCD_k5_nc10_rf1_ra1,5,SCCD,10,1,1,2.23606797749979,52
SCCD_k6_nc10_rf1_ra1,6,SCCD,10,1,1,2.449489742783178,86
SCCD_k7_nc10_rf1_ra1,7,SCCD,10,1,1,2.6457513110645907,56
SCCD_k8_nc10_rf1_ra1,8,SCCD,10,1,1,2.8284271247461903,58
SCCD_k9_nc10_rf1_ra1,9,SCCD,10,1,1,3,60
SCCD_k10_nc10_rf1_ra1,10,SCCD,10,1,1,3.1622776601683795,62
FCCD_k3_nc1_rf2_ra1,3,FCCD,1,2,1,1,23
FCCD_k4_nc1_rf2_ra1,4,FCCD,1,2,1,1,41
FCCD_k5_nc1_rf2_ra1,5,FCCD,1,2,1,1,75
FCCD_k6_nc1_rf2_ra1,6,FCCD,1,2,1,1,141
FCCD_k7_nc1_rf2_ra1,7,FCCD,1,2,1,1,79
FCCD_k8_nc1_rf2_ra1,8,FCCD,1,2,1,1,81
FCCD_k9_nc1_rf2_ra1,9,FCCD,1,2,1,1,83
FCCD_k10_nc1_rf2_ra1,10,FCCD,1,2,1,1,85
RCCD_k3_nc1_rf2_ra1,3,RCCD,1,2,1,1.681792830507429,23
RCCD_k4_nc1_rf2_ra1,4,RCCD,1,2,1,2,41
RCCD_k5_nc1_rf2_ra1,5,RCCD,1,2,1,2.378414230005442,75
RCCD_k6_nc1_rf2_ra1,6,RCCD,1,2,1,2.8284271247461903,141
RCCD_k7_nc1_rf2_ra1,7,RCCD,1,2,1,3.363585661014858,79
RCCD_k8_nc1_rf2_ra1,8,RCCD,1,2,1,4,81
RCCD_k9_nc1_rf2_ra1,9,RCCD,1,2,1,4.756828460010884,83
RCCD_k10_nc1_rf2_ra1,10,RCCD,1,2,1,5.656854249492381,85
SCCD_k3_nc1_rf2_ra1,3,SCCD,1,2,1,1.7320508075688772,23
SCCD_k4_nc1_rf2_ra1,4,SCCD,1,2,1,2,41
SCCD_k5_nc1_rf2_ra1,5,SCCD,1,2,1,2.23606797749979,75
SCCD_k6_nc1_rf2_ra1,6,SCCD,1,2,1,2.449489742783178,141
SCCD_k7_nc1_rf2_ra1,7,SCCD,1,2,1,2.6457513110645907,79
SCCD_k8_nc1_rf2_ra1,8,SCCD,1,2,1,2.8284271247461903,81
SCCD_k9_nc1_rf2_ra1,9,SCCD,1,2,1,3,83
SCCD_k10_nc1_rf2_ra1,10,SCCD,1,2,1,3.1622776601683795,85
FCCD_k3_nc3_rf2_ra1,3,FCCD,3,2,1,1,25
FCCD_k4_nc3_rf2_ra1,4,FCCD,3,2,1,1,43
FCCD_k5_nc3_rf2_ra1,5,FCCD,3,2,1,1,77
FCCD_k6_nc3_rf2_ra1,6,FCCD,3,2,1,1,143
FCCD_k7_nc3_rf2_ra1,7,FCCD,3,2,1,1,81
FCCD_k8_nc3_rf2_ra1,8,FCCD,3,2,1,1,83
FCCD_k9_nc3_rf2_ra1,9,FCCD,3,2,1,1,85
FCCD_k10_nc3_rf2_ra1,10,FCCD,3,2,1,1,87
RCCD_k3_nc3_rf2_ra1,3,RCCD,3,2,1,1.681792830507429,25
RCCD_k4_nc3_rf2_ra1,4,RCCD,3,2,1,2,43
RCCD_k5_nc3_rf2_ra1,5,RCCD,3,2,1,2.378414230005442,77
RCCD_k6_nc3_rf2_ra1,6,RCCD,3,2,1,2.8284271247461903,143
RCCD_k7_nc3_rf2_ra1,7,RCCD,3,2,1,3.363585661014858,81
RCCD_k8_nc3_rf2_ra1,8,RCCD,3,2,1,4,83
RCCD_k9_nc3_rf2_ra1,9,RCCD,3,2,1,4.756828460010884,85
RCCD_k10_nc3_rf2_ra1,10,RCCD,3,2,1,5.656854249492381,87
SCCD_k3_nc3_rf2_ra1,3,SCCD,3,2,1,1.7320508075688772,25
SCCD_k4_nc3_rf2_ra1,4,SCCD,3,2,1,2,43
SCCD_k5_nc3_rf2_ra1,5,SCCD,3,2,1,2.23606797749979,77
SCCD_k6_nc3_rf2_ra1,6,SCCD,3,2,1,2.449489742783178,143
SCCD_k7_nc3_rf2_ra1,7,SCCD,3,2,1,2.6457513110645907,81
SCCD_k8_nc3_rf2_ra1,8,SCCD,3,2,1,2.8284271247461903,83
SCCD_k9_nc3_rf2_ra1,9,SCCD,3,2,1,3,85
SCCD_k10_nc3_rf2_ra1,10,SCCD,3,2,1,3.1622776601683795,87
FCCD_k3_nc5_rf2_ra1,3,FCCD,5,2,1,1,27
FCCD_k4_nc5_rf2_ra1,4,FCCD,5,2,1,1,45
FCCD_k5_nc5_rf2_ra1,5,FCCD,5,2,1,1,79
FCCD_k6_nc5_rf2_ra1,6,FCCD,5,2,1,1,145
FCCD_k7_nc5_rf2_ra1,7,FCCD,5,2,1,1,83
FCCD_k8_nc5_rf2_ra1,8,FCCD,5,2,1,1,85
FCCD_k9_nc5_rf2_ra1,9,FCCD,5,2,1,1,87
FCCD_k10_nc5_rf2_ra1,10,FCCD,5,2,1,1,89
RCCD_k3_nc5_rf2_ra1,3,RCCD,5,2,1,1.681792830507429,27
RCCD_k4_nc5_rf2_ra1,4,RCCD,5,2,1,2,45
RCCD_k5_nc5_rf2_ra1,5,RCCD,5,2,1,2.378414230005442,79
RCCD_k6_nc5_rf2_ra1,6,RCCD,5,2,1,2.8284271247461903,145
RCCD_k7_nc5_rf2_ra1,7,RCCD,5,2,1,3.363585661014858,83
RCCD_k8_nc5_rf2_ra1,8,RCCD,5,2,1,4,85
RCCD_k9_nc5_rf2_ra1,9,RCCD,5,2,1,4.756828460010884,87
RCCD_k10_nc5_rf2_ra1,10,RCCD,5,2,1,5.656854249492381,89
SCCD_k3_nc5_rf2_ra1,3,SCCD,5,2,1,1.7320508075688772,27
SCCD_k4_nc5_rf2_ra1,4,SCCD,5,2,1,2,45
SCCD_k5_nc5_rf2_ra1,5,SCCD,5,2,1,2.23606797749979,79
SCCD_k6_nc5_rf2_ra1,6,SCCD,5,2,1,2.449489742783178,145
SCCD_k7_nc5_rf2_ra1,7,SCCD,5,2,1,2.6457513110645907,83
SCCD_k8_nc5_rf2_ra1,8,SCCD,5,2,1,2.8284271247461903,85
SCCD_k9_nc5_rf2_ra1,9,SCCD,5,2,1,3,87
SCCD_k10_nc5_rf2_ra1,10,SCCD,5,2,1,3.1622776601683795,89
FCCD_k3_nc7_rf2_ra1,3,FCCD,7,2,1,1,29
FCCD_k4_nc7_rf2_ra1,4,FCCD,7,2,1,1,47
FCCD_k5_nc7_rf2_ra1,5,FCCD,7,2,1,1,81
FCCD_k6_nc7_rf2_ra1,6,FCCD,7,2,1,1,147
FCCD_k7_nc7_rf2_ra1,7,FCCD,7,2,1,1,85
FCCD_k8_nc7_rf2_ra1,8,FCCD,7,2,1,1,87
FCCD_k9_nc7_rf2_ra1,9,FCCD,7,2,1,1,89
FCCD_k10_nc7_rf2_ra1,10,FCCD,7,2,1,1,91
RCCD_k3_nc7_rf2_ra1,3,RCCD,7,2,1,1.681792830507429,29
RCCD_k4_nc7_rf2_ra1,4,RCCD,7,2,1,2,47
RCCD_k5_nc7_rf2_ra1,5,RCCD,7,2,1,2.378414230005442,81
RCCD_k6_nc7_rf2_ra1,6,RCCD,7,2,1,2.8284271247461903,147
RCCD_k7_nc7_rf2_ra1,7,RCCD,7,2,1,3.363585661014858,85
RCCD_k8_nc7_rf2_ra1,8,RCCD,7,2,1,4,87
RCCD_k9_nc7_rf2_ra1,9,RCCD,7,2,1,4.756828460010884,89
RCCD_k10_nc7_rf2_ra1,10,RCCD,7,2,1,5.656854249492381,91
SCCD_k3_nc7_rf2_ra1,3,SCCD,7,2,1,1.7320508075688772,29
SCCD_k4_nc7_rf2_ra1,4,SCCD,7,2,1,2,47
SCCD_k5_nc7_rf2_ra1,5,SCCD,7,2,1,2.23606797749979,81
SCCD_k6_nc7_rf2_ra1,6,SCCD,7,2,1,2.449489742783178,147
SCCD_k7_nc7_rf2_ra1,7,SCCD,7,2,1,2.6457513110645907,85
SCCD_k8_nc7_rf2_ra1,8,SCCD,7,2,1,2.8284271247461903,87
SCCD_k9_nc7_rf2_ra1,9,SCCD,7,2,1,3,89
SCCD_k10_nc7_rf2_ra1,10,SCCD,7,2,1,3.1622776601683795,91
FCCD_k3_nc10_rf2_ra1,3,FCCD,10,2,1,1,32
FCCD_k4_nc10_rf2_ra1,4,FCCD,10,2,1,1,50
FCCD_k5_nc10_rf2_ra1,5,FCCD,10,2,1,1,84
FCCD_k6_nc10_rf2_ra1,6,FCCD,10,2,1,1,150
FCCD_k7_nc10_rf2_ra1,7,FCCD,10,2,1,1,88
FCCD_k8_nc10_rf2_ra1,8,FCCD,10,2,1,1,90
FCCD_k9_nc10_rf2_ra1,9,FCCD,10,2,1,1,92
FCCD_k10_nc10_rf2_ra1,10,FCCD,10,2,1,1,94
RCCD_k3_nc10_rf2_ra1,3,RCCD,10,2,1,1.681792830507429,32
RCCD_k4_nc10_rf2_ra1,4,RCCD,10,2,1,2,50
RCCD_k5_nc10_rf2_ra1,5,RCCD,10,2,1,2.378414230005442,84
RCCD_k6_nc10_rf2_ra1,6,RCCD,10,2,1,2.8284271247461903,150
RCCD_k7_nc10_rf2_ra1,7,RCCD,10,2,1,3.363585661014858,88
RCCD_k8_nc10_rf2_ra1,8,RCCD,10,2,1,4,90
RCCD_k9_nc10_rf2_ra1,9,RCCD,10,2,1,4.756828460010884,92
RCCD_k10_nc10_rf2_ra1,10,RCCD,10,2,1,5.656854249492381,94
SCCD_k3_nc10_rf2_ra1,3,SCCD,10,2,1,1.7320508075688772,32
SCCD_k4_nc10_rf2_ra1,4,SCCD,10,2,1,2,50
SCCD_k5_nc10_rf2_ra1,5,SCCD,10,2,1,2.23606797749979,84
SCCD_k6_nc10_rf2_ra1,6,SCCD,10,2,1,2.449489742783178,150
SCCD_k7_nc10_rf2_ra1,7,SCCD,10,2,1,2.6457513110645907,88
SCCD_k8_nc10_rf2_ra1,8,SCCD,10,2,1,2.8284271247461903,90
SCCD_k9_nc10_rf2_ra1,9,SCCD,10,2,1,3,92
SCCD_k10_nc10_rf2_ra1,10,SCCD,10,2,1,3.1622776601683795,94
FCCD_k3_nc1_rf3_ra1,3,FCCD,1,3,1,1,31
FCCD_k4_nc1_rf3_ra1,4,FCCD,1,3,1,1,57
FCCD_k5_nc1_rf3_ra1,5,FCCD,1,3,1,1,107
FCCD_k6_nc1_rf3_ra1,6,FCCD,1,3,1,1,205
FCCD_k7_nc1_rf3_ra1,7,FCCD,1,3,1,1,111
FCCD_k8_nc1_rf3_ra1,8,FCCD,1,3,1,1,113
FCCD_k9_nc1_rf3_ra1,9,FCCD,1,3,1,1,115
FCCD_k10_nc1_rf3_ra1,10,FCCD,1,3,1,1,117
RCCD_k3_nc1_rf3_ra1,3,RCCD,1,3,1,1.681792830507429,31
RCCD_k4_nc1_rf3_ra1,4,RCCD,1,3,1,2,57
RCCD_k5_nc1_rf3_ra1,5,RCCD,1,3,1,2.378414230005442,107
RCCD_k6_nc1_rf3_ra1,6,RCCD,1,3,1,2.8284271247461903,205
RCCD_k7_nc1_rf3_ra1,7,RCCD,1,3,1,3.363585661014858,111
RCCD_k8_nc1_rf3_ra1,8,RCCD,1,3,1,4,113
RCCD_k9_nc1_rf3_ra1,9,RCCD,1,3,1,4.756828460010884,115
RCCD_k10_nc1_rf3_ra1,10,RCCD,1,3,1,5.656854249492381,117
SCCD_k3_nc1_rf3_ra1,3,SCCD,1,3,1,1.7320508075688772,31
SCCD_k4_nc1_rf3_ra1,4,SCCD,1,3,1,2,57
SCCD_k5_nc1_rf3_ra1,5,SCCD,1,3,1,2.23606797749979,107
SCCD_k6_nc1_rf3_ra1,6,SCCD,1,3,1,2.449489742783178,205
SCCD_k7_nc1_rf3_ra1,7,SCCD,1,3,1,2.6457513110645907,111
SCCD_k8_nc1_rf3_ra1,8,SCCD,1,3,1,2.8284271247461903,113
SCCD_k9_nc1_rf3_ra1,9,SCCD,1,3,1,3,115
SCCD_k10_nc1_rf3_ra1,10,SCCD,1,3,1,3.1622776601683795,117
FCCD_k3_nc3_rf3_ra1,3,FCCD,3,3,1,1,33
FCCD_k4_nc3_rf3_ra1,4,FCCD,3,3,1,1,59
FCCD_k5_nc3_rf3_ra1,5,FCCD,3,3,1,1,109
FCCD_k6_nc3_rf3_ra1,6,FCCD,3,3,1,1,207
FCCD_k7_nc3_rf3_ra1,7,FCCD,3,3,1,1,113
FCCD_k8_nc3_rf3_ra1,8,FCCD,3,3,1,1,115
