DesignID,k,family,nc,rf,ra,alpha,N,Dcritical,Acritical,Gcritical,Defficiency,Aefficiency,Gefficiency
SCCD_k4_nc5_rf1_ra1,4,SCCD,5,1,1,2,29,21.354221130057486,0.8958333333333334,0.4608116632418995,0.342466553021239,0.37984496124031003,0.33161980599876034
SCCD_k5_nc5_rf1_ra1,5,SCCD,5,1,1,2.23606797749979,47,37.21392709324472,0.7563095238095235,0.34042520156312306,0.32031155299674724,0.36946379649901506,0.33597362388828433
SCCD_k6_nc5_rf1_ra1,6,SCCD,5,1,1,2.449489742783178,81,66.40803969507417,0.6182931286549702,0.22038061521161378,0.29778801271778077,0.3315385070106794,0.3439017082930637
FCCD_k3_nc7_rf1_ra1,3,FCCD,7,1,1,1,21,7.416969719068783,1.8660569105691058,0.7302440777747194,0.20543410286598546,0.2008167315868002,0.26498998105633553
FCCD_k4_nc7_rf1_ra1,4,FCCD,7,1,1,1,31,11.70210734897886,2.2265555555555556,0.7099618469006882,0.18767157755280356,0.15282698737461947,0.21524293880488052
FCCD_k5_nc7_rf1_ra1,5,FCCD,7,1,1,1,49,19.837152106420557,2.5573345417870574,0.714312286687496,0.17074438240068704,0.10926571530988069,0.1601174874961929
FCCD_k6_nc7_rf1_ra1,6,FCCD,7,1,1,1,83,35.150587323330946,2.904748679184252,0.701870665035377,0.157622835923795,0.07056995403361299,0.10798181747933609
RCCD_k3_nc7_rf1_ra1,3,RCCD,7,1,1,1.681792830507429,21,12.506765030375941,0.9371612086277609,0.64975018686246655,0.34641048178548367,0.39986231428011887,0.29781809724509406
RCCD_k4_nc7_rf1_ra1,4,RCCD,7,1,1,2,31,21.838640779814387,0.8244047619047619,0.47976095007597797,0.35023539303921986,0.4127557160048134,0.31852170198938484
RCCD_k5_nc7_rf1_ra1,5,RCCD,7,1,1,2.378414230005442,49,40.083481584522005,0.6615309831649668,0.3462074882871703,0.3450106784936816,0.42239743127095114,0.33036226107620137
RCCD_k6_nc7_rf1_ra1,6,RCCD,7,1,1,2.8284271247461903,83,75.98043256484253,0.4937011718749997,0.20280697626674957,0.3407126926621222,0.4152065914502866,0.37370149410573333
SCCD_k3_nc7_rf1_ra1,3,SCCD,7,1,1,1.7320508075688772,21,12.961481396815714,0.9146825396825397,0.5826609436203501,0.3590051467681208,0.4096890817064353,0.33210972256638766
SCCD_k4_nc7_rf1_ra1,4,SCCD,7,1,1,2,31,21.838640779814387,0.8244047619047619,0.5298970569694934,0.35023539303921986,0.4127557160048134,0.288384833160231
SCCD_k5_nc7_rf1_ra1,5,SCCD,7,1,1,2.23606797749979,49,37.814989169482345,0.687738095238095,0.3559957583506892,0.3254850765167111,0.4063014538961819,0.3212787960226006
SCCD_k6_nc7_rf1_ra1,6,SCCD,7,1,1,2.449489742783178,83,67.21087027496867,0.551626461988304,0.25879231227093047,0.30138807867415596,0.3716065034849199,0.2928575017584228
FCCD_k3_nc10_rf1_ra1,3,FCCD,10,1,1,1,24,7.624080904346351,1.829320987654321,0.6828607749148753,0.21117063707774303,0.20484947817493793,0.28337747816917225
FCCD_k4_nc10_rf1_ra1,4,FCCD,10,1,1,1,34,11.886314471896496,2.2027074542897327,0.6842388979554594,0.1906257840323256,0.15448160268177827,0.22333467860839482
FCCD_k5_nc10_rf1_ra1,5,FCCD,10,1,1,1,52,20.029946997883236,2.5404967962979437,0.6820182916176133,0.172403826482993,0.10998989977165789,0.1676991512365302
FCCD_k6_nc10_rf1_ra1,6,FCCD,10,1,1,1,86,35.37621410203448,2.8921396149884107,0.704993503338758,0.1586345951980418,0.07087762281837565,0.10750350136139149
RCCD_k3_nc10_rf1_ra1,3,RCCD,10,1,1,1.681792830507429,24,12.96024769389627,0.8794817372766941,0.6224225446586124,0.3589709758516874,0.42608667565493075,0.31089388711355154
