DesignID,k,family,nc,rf,ra,alpha,N,Nf,Na,Nc,lambda,lambda_eff,Dcrit,Acrit,Gcrit,Deff,Aeff,Geff
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,1e-10,9.9e-10,6.707446946839218,2.1305555548009947,3.3622972408638865,0.18578184865074418,0.17588626063533117,0.06509350836593653
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,1e-9,9.900000000000001e-9,6.707446959572135,2.130555548009937,3.361346187826762,0.18578184870015804,0.17588626066510238,0.06495026449708492
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,1e-8,9.9e-8,6.707447086901272,2.1305554800993787,3.387463196436048,0.18578184919429563,0.17588626096281318,0.0644509955025536
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,1e-7,9.9e-7,6.707448360192597,2.1305548009940813,3.3901530269940805,0.18578185413567133,0.17588626393992468,0.06441431149665044
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,1e-6,9.9e-6,6.707461093096789,2.1305480099706484,3.280448392883352,0.1857819035493214,0.17588629371140405,0.0667730149608392
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,1e-5,9.900000000000001e-5,6.7075884212359425,2.1304801026896993,3.3472081709994477,0.18578239767505764,0.1758865914625234,0.06542442557696009
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,1e-4,9.9e-4,6.708861612378849,2.129801325080235,3.3993071856596817,0.1857873378561758,0.17588957260223173,0.06416994300810629
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,0.001,0.0099,6.7215845264508305,2.1230429314226704,3.3190582366369092,0.18583663209955636,0.1759197427209253,0.06570399807594438
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,0.01,0.099,6.847940526947445,2.0582659432333155,3.21329329697691,0.18631888853686826,0.17625348747680994,0.06691817681565881
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,1e-10,1.7666666666666668e-9,11.130812775431098,2.3542843676199,5.78921699430159,0.17850948810536166,0.14453554646895458,0.03356317021233337
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,1e-9,1.766666666666667e-8,11.130812803208503,2.354284354165088,5.950540807847779,0.17850948825101315,0.1445355466813474,0.03267191741247608
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,1e-8,1.766666666666667e-7,11.130813080982541,2.354284219617011,5.91401392898867,0.178509489707526,0.14453554880527367,0.03285762065575819
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,1e-7,1.7666666666666668e-6,11.130815858722434,2.3542828741373114,5.9290620681808255,0.1785095042726493,0.14453557004453685,0.032786116071467766
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,1e-6,1.7666666666666668e-5,11.130843636072225,2.3542694194493206,5.798455760443751,0.17850964992324786,0.1445357824370751,0.03352973870184846
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,1e-5,1.766666666666667e-4,11.13112140465179,2.354134883468403,5.736918447112555,0.1785111063657574,0.14453790635314143,0.03388396035488707
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,1e-4,0.0017666666666666668,11.133898598886399,2.3527906126201796,6.01626426040819,0.17852566444633047,0.14455914457545804,0.03230474000797921
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,0.001,0.017666666666666667,11.161621652460322,2.339455870533527,5.687632511997498,0.1786706137608825,0.14477142634926204,0.034122137204340465
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,0.01,0.1766666666666667,11.434214980667601,2.2160500924987327,5.56146447625145,0.18005978201612308,0.14687843949901663,0.034552023452827596
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,1e-10,3.3476190476190476e-9,19.279685911947514,2.6324087357232218,9.122988548840349,0.16594610181895808,0.10614954432449171,0.016460640660350096
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,1e-9,3.347619047619048e-8,19.279685984761137,2.6324087043207616,9.718376279754995,0.16594610214421426,0.106149544831094,0.015454379022413135
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,1e-8,3.3476190476190475e-7,19.27968671289713,2.632408390296247,9.54892352758209,0.16594610539677387,0.10614954989711448,0.01572729970309064
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,1e-7,3.3476190476190474e-6,19.279693994253826,2.632405250056177,9.032702683273543,0.16594613792234528,0.10614960055729812,0.01662348199521429
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,1e-6,3.3476190476190474e-5,19.279766807494333,2.632373848159865,9.89218426574074,0.16594646317548464,0.10615010715730833,0.015180739577065061
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,1e-5,3.3476190476190476e-4,19.280494907254656,2.6320598796277563,9.121773691102387,0.16594971544943327,0.10615517297460904,0.016456262470104614
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,1e-4,0.0033476190476190476,19.287772643739274,2.6289252290531526,8.939350155881156,0.16598221247036724,0.10620581286869915,0.016794736086496814
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,0.001,0.03347619047619047,19.360227223702516,2.5980739756761495,9.464688893115435,0.16630463635025725,0.10671038533514024,0.015845405221011574
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,0.01,0.33476190476190476,20.055471498240454,2.332040773630537,8.391609335159544,0.1692971327845961,0.11157578120231364,0.017696568442355124
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,1e-10,3.332142857142857e-9,20.158940358018963,3.2784424345617444,12.736119042566289,0.14893002206897768,0.09257793314733939,0.015799672399008667
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,1e-9,3.332142857142857e-8,20.158940428804314,3.2784423959813678,12.79472937087174,0.14893002231555877,0.0925779336961881,0.015658342254018617
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,1e-8,3.332142857142857e-7,20.158941136657727,3.2784420101776726,13.35995937527899,0.14893002478136955,0.092577939184674,0.015014287965644284
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,1e-7,3.332142857142857e-6,20.158948215188662,3.2784381521469848,14.256730249496623,0.1489300494394534,0.0925779940695053,0.014120057973306588
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,1e-6,3.332142857142857e-5,20.15901900017653,3.27839957246114,14.034398072798732,0.14893029601802027,0.09257854291514446,0.01427668469711141
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,1e-5,3.332142857142857e-4,20.15972681791464,3.278013837694319,13.29929542482277,0.14893276157646035,0.0925840311042377,0.015108170306049386
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,1e-4,0.0033321428571428573,20.16680178458756,3.2741626889071114,13.76300653668728,0.148957394461533,0.09263888627358635,0.01460233931860396
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,0.001,0.03332142857142857,20.237233689913786,3.2362609756523146,12.17463393444141,0.14920147670777056,0.09318477418557791,0.016497676934405178
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,0.01,0.3332142857142857,20.912737130952735,2.9095510175450485,10.952845083649333,0.1514385499878294,0.09838597850480212,0.01794327204326945
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,1e-10,3.3194444444444445e-9,3.2626711010205502,903765740.2907676,3990756853.008414,0.12465844000883014,0.12768215862671148,0.12498138122642362
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,1e-9,3.319444444444444e-8,3.9528163102374068,90376572.59697756,398320836.0616193,0.12465844214126547,0.12768218078706078,0.12998561913029527
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,1e-8,3.3194444444444445e-7,4.788946439109452,9037660.760708649,40801521.53860233,0.1246584438548697,0.12768216135341326,0.12575713354476667
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,1e-7,3.3194444444444443e-6,5.801942912587734,903769.518556999,3973743.0104963966,0.12465846034331937,0.12768195905889385,0.1259424041099017
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,1e-6,3.3194444444444444e-5,7.029236649473882,90380.39839781196,400756.2699728118,0.12465862506573717,0.12767993427842583,0.12729195808730748
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,1e-5,3.3194444444444444e-4,8.516385236351658,9041.4858076764,42977.40588922479,0.1246602722197277,0.12765970128544235,0.13094447691649572
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,1e-4,0.0033194444444444443,10.321113278040022,907.5900247892188,4026.058823188444,0.12467672508670381,0.1274587014209161,0.1289990783747542
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,0.001,0.03319444444444444,12.543826566876957,94.1559329022242,440.0595352318805,0.12483940640253888,0.12557450042956553,0.10495417884430856
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,0.01,0.33194444444444443,15.655063554241107,12.429502058158718,52.57222941530776,0.126299683531154,0.1147100546110152,0.09525918264280381
FCCD_k8_nc1_rf1_ra1,8,FCCD,1,1,1,1,49,32,16,1,1e-10,3.308888888888889e-9,0.407036833292874,2417726146.825086,5799354372.353755,0.09722849376882074,0.08540794581230779,0.08293271113101307
FCCD_k8_nc1_rf1_ra1,8,FCCD,1,1,1,1,49,32,16,1,1e-9,3.308888888888889e-8,0.612930690828834,241773000.29302448,618835552.0400499,0.09722846970581436,0.08540782607278373,0.07459697342219257
FCCD_k8_nc1_rf1_ra1,8,FCCD,1,1,1,1,49,32,16,1,1e-8,3.308888888888889e-7,0.922973339538034,24177304.499329124,62155010.574256815,0.09722847005612052,0.08540781939477705,0.0766766554830486
