DesignID,k,family,nc,rf,ra,alpha,N,Nf,Na,Nc,lambda,lambda_eff,Dcrit,Acrit,Gcrit,Deff,Aeff,Geff
FCCD_k3_nc1_rf1_ra1,3,FCCD,1,1,1,1,15,8,6,1,0.01,0.099,6.847940526947445,2.0582659432333155,3.21329329697691,0.18631888853686826,0.17625348747680994,0.06691817681565881
FCCD_k4_nc1_rf1_ra1,4,FCCD,1,1,1,1,25,16,8,1,0.01,0.1766666666666667,11.434214980667601,2.2160500924987327,5.56146447625145,0.18005978201612308,0.14687843949901663,0.034552023452827596
FCCD_k5_nc1_rf1_ra1,5,FCCD,1,1,1,1,43,32,10,1,0.01,0.33476190476190476,20.055471498240454,2.332040773630537,8.391609335159544,0.1692971327845961,0.11157578120231364,0.017696568442355124
FCCD_k6_nc1_rf1_ra1,6,FCCD,1,1,1,1,45,32,12,1,0.01,0.3332142857142857,20.912737130952735,2.9095510175450485,10.952845083649333,0.1514385499878294,0.09838597850480212,0.01794327204326945
FCCD_k7_nc1_rf1_ra1,7,FCCD,1,1,1,1,47,32,14,1,0.01,0.33194444444444443,15.655063554241107,12.429502058158718,52.57222941530776,0.126299683531154,0.1147100546110152,0.09525918264280381
FCCD_k8_nc1_rf1_ra1,8,FCCD,1,1,1,1,49,32,16,1,0.01,0.3308888888888889,11.088022442725936,28.007225272831437,64.76272672865171,0.09804009742312403,0.08248045968873237,0.07706116198324861
FCCD_k9_nc1_rf1_ra1,9,FCCD,1,1,1,1,51,32,18,1,0.01,0.33,7.803800359454314,49.6679094036191,81.5583398695207,0.06978042289771426,0.05268974394211783,0.050115085017953316
FCCD_k10_nc1_rf1_ra1,10,FCCD,1,1,1,1,53,32,20,1,0.01,0.3292424242424242,5.565953221603489,77.43369707072925,107.18900585134892,0.045330106108025646,0.03129458646089109,0.02849934182274503
RCCD_k3_nc1_rf1_ra1,3,RCCD,1,1,1,1.681792830507429,15,8,6,1,0.01,0.15197056274847714,10.61596686087703,1.841145694784357,0.8153709188412759,0.2888394165339711,0.19703848080969363,0.2637176823932452
RCCD_k4_nc1_rf1_ra1,4,RCCD,1,1,1,2,25,16,8,1,0.01,0.27266666666666667,19.78956025110319,1.5681914710029314,0.7238284903511589,0.31163520285679697,0.20755754986328254,0.26547704819173806
RCCD_k5_nc1_rf1_ra1,5,RCCD,1,1,1,2.378414230005442,43,32,10,1,0.01,0.5045564488071066,37.90790001940628,1.177042429929219,0.5675890625328138,0.31999740239134583,0.2210619298822745,0.2616376860372846
RCCD_k6_nc1_rf1_ra1,6,RCCD,1,1,1,2.8284271247461903,45,32,12,1,0.01,0.633214285714286,44.9647339176939,1.0754642057760382,0.5964729467394924,0.3256098932647903,0.26617252562511107,0.3294866599700793
