family,criterion,variance,sd,range
FCCD,A,0.008651387975288364,0.09301283769076377,0.28512027314440685
FCCD,D,0.011419435002702049,0.10686175650204356,0.28533021204077386
FCCD,G,0.02056457155768443,0.14340352700573453,0.40090266302305977
RCCD,A,0.003464197702078499,0.05885743540181223,0.1369609378643991
RCCD,D,0.00024364614657282935,0.015609168670138373,0.0453062657861264
RCCD,G,0.002342702751000733,0.04840147467795514,0.12419801170189959
SCCD,A,0.02536106618572974,0.1592515814230105,0.41074821777634724
SCCD,D,0.023791352725077448,0.15424445768025977,0.41288213662946266
SCCD,G,0.026830446367698945,0.16380001943741931,0.4198465537973327
