k,family,mean_q10,mean_q50,mean_q90,mean_min_eig,mean_max_eig
3,FCCD,4.191806806141086,16.20961960563971,26.080443496514803,4.107268061410851,78.99363496514815
3,RCCD,14.28629071208193,25.99558106915177,42.31073323870891,4.098636991346738,109.71564525964718
3,SCCD,14.504079102175155,27.210088888888883,45.65832089782482,4.149991021751565,113.69240897824842
4,FCCD,4.355466666666668,32.355466666666665,36.35546666666667,4.355466666666664,175.31044681071847
4,RCCD,30.769688888888886,46.76968888888887,68.10302222222224,4.679412840173912,241.6155204931594
4,SCCD,30.769688888888886,46.76968888888887,68.10302222222224,4.679412840173912,241.6155204931594
5,FCCD,4.671047619047621,64.67104761904761,68.67104761904763,4.671047619047611,399.56016925534175
5,RCCD,61.45508115158246,65.01063670713802,135.08034970691241,5.576141868752435,533.6451315455236
5,SCCD,58.27104761904762,64.93771428571428,111.60438095238099,5.259413459718188,505.8160151117105
6,FCCD,5.3075714285714355,129.30757142857144,133.30757142857146,5.307571428571404,912.1546837085547
6,RCCD,122.79646031746032,129.90757142857143,268.5742380952382,8.072729393447704,1176.9424134636952
6,SCCD,104.76153968253968,129.65042857142856,178.5393174603175,6.1026534397570416,1066.3982037031
7,FCCD,4.664777777777744,64.66477777777777,98.66477777777783,0.6647777777777779,528.1752528138337
7,RCCD,38.191825532288746,65.73277328832543,513.7327732883253,1.7327732883254368,1050.0146688003986
7,SCCD,35.35668624551931,65.08477777777777,204.6403333333334,1.0847777777777772,737.7409608422947
8,FCCD,0.6624888888888939,64.66248888888889,128.66248888888887,0.6624888888888532,592.3876778948913
8,RCCD,2.582488888888894,116.36026666666635,1026.5824888888887,2.5824888888888577,1625.5687477354172
8,SCCD,1.1602666666666712,95.3824888888887,264.27137777777784,1.1602666666666308,865.7427765274979
9,FCCD,0.6605818181818109,64.66058181818181,128.66058181818184,0.660581818181777,656.5605737488369
9,RCCD,4.146870365804883,123.81568547511108,2052.1468703658043,4.146870365804843,2711.8853894414838
9,SCCD,1.2365818181818111,98.3476929292929,328.5699151515151,1.2365818181817707,1001.7602926692066
10,FCCD,0.6589696969696871,18.79999673637226,128.6589696969697,0.6589696969696459,720.7041014603975
10,RCCD,7.046848484848478,131.491292929293,4103.046848484849,7.0468484848484305,4822.59544527317
10,SCCD,1.3135151515151455,101.3135151515153,401.3135151515153,1.3135151515150982,1145.7892118100056
