family,criterion,beta0,beta1,R2
FCCD,A,0.3787316441308296,-1.1884526650314318,0.7878813216436964
FCCD,D,0.4966659888633798,-1.0871656961882281,0.7641780704940196
FCCD,G,1.2207068245223054,-1.5429147845397517,0.86080161357059
RCCD,A,-0.9232032558622232,0.22878609889118245,0.9193042866276699
RCCD,D,-0.5420667860946511,0.05165169468832483,0.7381533519157009
RCCD,G,-0.841105756998268,0.16539048729094125,0.6722343197570458
SCCD,A,0.8599106726012168,-1.054260248155952,0.6899087493113595
SCCD,D,0.6195044835381077,-0.7790216025054153,0.7201821392720613
SCCD,G,0.954408024329261,-1.127184563664933,0.7342266040842981
